                Time          Cycles PC       Instr    Mnemonic
               94500              79 1c000080 0180006f jal              x0, 24             
             2777500            2762 1c001142 00c05763 bge              x0, x12, 14         x12:002cd948
             2778500            2763 1c001146 c4063633 p.bclr           x12, x12, 2, 0      x12=002cd948 x12:002cd948
             2779500            2764 1c00114a 00c7a023 sw               x12, 0(x15)         x12:002cd948 x15:1c0026b8  PA:1c0026b8
             2797500            2782 1c00114c 0007a223 sw               x0, 4(x15)          x15:1c0026b8  PA:1c0026bc
             2815500            2800 1c001150 00008067 jalr             x0, x1, 0            x1:1c00128e
             2816500            2801 1c00128e 6b448593 addi             x11, x9, 1716       x11=1c0026b4  x9:1c002000
             2817500            2802 1c001292 008585b3 add              x11, x11, x8        x11=1c2d0000 x11:1c0026b4  x8:002cd94c
             2818500            2803 1c001294 1c002437 lui              x8, 0x1c002000       x8=1c002000
             2819500            2804 1c001298 00030637 lui              x12, 0x30000        x12=00030000
             2820500            2805 1c00129c 6a440513 addi             x10, x8, 1700       x10=1c0026a4  x8:1c002000
             2837500            2822 1c0012a0 e93ff0ef jal              x1, -366             x1=1c0012a2
             2839500            2824 1c001132 00758793 addi             x15, x11, 7         x15=1c2d0007 x11:1c2d0000
             2840500            2825 1c001136 c407b7b3 p.bclr           x15, x15, 2, 0      x15=1c2d0000 x15:1c2d0007
             2841500            2826 1c00113a 40b785b3 sub              x11, x15, x11       x11=00000000 x15:1c2d0000 x11:1c2d0000
             2842500            2827 1c00113e 00f52023 sw               x15, 0(x10)         x15:1c2d0000 x10:1c0026a4  PA:1c0026a4
             2860500            2845 1c001140 40b60633 sub              x12, x12, x11       x12=00030000 x12:00030000 x11:00000000
             2861500            2846 1c001142 00c05763 bge              x0, x12, 14         x12:00030000
             2862500            2847 1c001146 c4063633 p.bclr           x12, x12, 2, 0      x12=00030000 x12:00030000
             2863500            2848 1c00114a 00c7a023 sw               x12, 0(x15)         x12:00030000 x15:1c2d0000  PA:1c2d0000
             2881500            2866 1c00114c 0007a223 sw               x0, 4(x15)          x15:1c2d0000  PA:1c2d0004
             2899500            2884 1c001150 00008067 jalr             x0, x1, 0            x1:1c0012a2
             2900500            2885 1c0012a2 f14027f3 csrrs            x15, x0, 0xf14      x15=00000000
             2901500            2886 1c0012a6 ca5797b3 p.extractu       x15, x15, 5, 5      x15=00000000 x15:00000000
             2902500            2887 1c0012aa 00079763 bne              x15, x0, 14         x15:00000000
             2903500            2888 1c0012ac 00812403 lw               x8, 8(x2)            x8=10000990  x2:10000960  PA:10000968
             2904500            2889 1c0012ae 00c12083 lw               x1, 12(x2)           x1=1c000c9c  x2:10000960  PA:1000096c
             2920500            2905 1c0012b0 00412483 lw               x9, 4(x2)            x9=10000168  x2:10000960  PA:10000964
             2921500            2906 1c0012b2 00000513 addi             x10, x0, 0          x10=00000000
             2922500            2907 1c0012b4 01010113 addi             x2, x2, 16           x2=10000970  x2:10000960
             2923500            2908 1c0012b6 f83ff06f jal              x0, -126           
             2941500            2926 1c001238 100015b7 lui              x11, 0x10001000     x11=10001000
             2942500            2927 1c00123c 01651713 slli             x14, x10, 0x16      x14=00000000 x10:00000000
             2959500            2944 1c001240 99058593 addi             x11, x11, -1648     x11=10000990 x11:10001000
             2960500            2945 1c001244 00b706b3 add              x13, x14, x11       x13=10000990 x14:00000000 x11:10000990
             2961500            2946 1c001248 1c002637 lui              x12, 0x1c002000     x12=1c002000
             2962500            2947 1c00124c 00400793 addi             x15, x0, 4          x15=00000004
             2979500            2964 1c001250 00279793 slli             x15, x15, 0x2       x15=00000010 x15:00000004
             2980500            2965 1c001252 68d62e23 sw               x13, 1692(x12)      x13:10000990 x12:1c002000  PA:1c00269c
             2998500            2983 1c001256 000ff637 lui              x12, 0xff000        x12=000ff000
             2999500            2984 1c00125a 00f70733 add              x14, x14, x15       x14=00000010 x14:00000000 x15:00000010
             3000500            2985 1c00125c 00251513 slli             x10, x10, 0x2       x10=00000000 x10:00000000
             3001500            2986 1c00125e 67060613 addi             x12, x12, 1648      x12=000ff670 x12:000ff000
             3002500            2987 1c001262 40f60633 sub              x12, x12, x15       x12=000ff660 x12:000ff670 x15:00000010
             3003500            2988 1c001264 00e585b3 add              x11, x11, x14       x11=100009a0 x11:10000990 x14:00000010
             3004500            2989 1c001266 00d50533 add              x10, x10, x13       x10=10000990 x10:00000000 x13:10000990
             3005500            2990 1c001268 ecbff06f jal              x0, -310           
             3007500            2992 1c001132 00758793 addi             x15, x11, 7         x15=100009a7 x11:100009a0
             3008500            2993 1c001136 c407b7b3 p.bclr           x15, x15, 2, 0      x15=100009a0 x15:100009a7
             3009500            2994 1c00113a 40b785b3 sub              x11, x15, x11       x11=00000000 x15:100009a0 x11:100009a0
             3010500            2995 1c00113e 00f52023 sw               x15, 0(x10)         x15:100009a0 x10:10000990  PA:10000990
             3011500            2996 1c001140 40b60633 sub              x12, x12, x11       x12=000ff660 x12:000ff660 x11:00000000
             3012500            2997 1c001142 00c05763 bge              x0, x12, 14         x12:000ff660
             3013500            2998 1c001146 c4063633 p.bclr           x12, x12, 2, 0      x12=000ff660 x12:000ff660
             3014500            2999 1c00114a 00c7a023 sw               x12, 0(x15)         x12:000ff660 x15:100009a0  PA:100009a0
             3015500            3000 1c00114c 0007a223 sw               x0, 4(x15)          x15:100009a0  PA:100009a4
             3016500            3001 1c001150 00008067 jalr             x0, x1, 0            x1:1c000c9c
             3018500            3003 1c000c9c 0044a78b p.lw             x15, 4(x9!)         x15=1c001118  x9=1000016c  x9:10000168  PA:10000168
             3035500            3020 1c000ca0 06079363 bne              x15, x0, 102        x15:1c001118
             3054500            3039 1c000d06 000780e7 jalr             x1, x15, 0           x1=1c000d08 x15:1c001118
             3072500            3057 1c001118 10000537 lui              x10, 0x10000000     x10=10000000
             3073500            3058 1c00111c 13850513 addi             x10, x10, 312       x10=10000138 x10:10000000
             3090500            3075 1c001120 00052023 sw               x0, 0(x10)          x10:10000138  PA:10000138
             3091500            3076 1c001124 00052223 sw               x0, 4(x10)          x10:10000138  PA:1000013c
             3092500            3077 1c001128 00052823 sw               x0, 16(x10)         x10:10000138  PA:10000148
             3093500            3078 1c00112c 00100593 addi             x11, x0, 1          x11=00000001
             3094500            3079 1c00112e 00450513 addi             x10, x10, 4         x10=1000013c x10:10000138
             3095500            3080 1c001130 dd5ff06f jal              x0, -556           
             3113500            3098 1c000f04 fe010113 addi             x2, x2, -32          x2=10000950  x2:10000970
             3114500            3099 1c000f06 01312623 sw               x19, 12(x2)         x19:00000000  x2:10000950  PA:1000095c
             3115500            3100 1c000f08 00b009b3 add              x19, x0, x11        x19=00000001 x11:00000001
             3116500            3101 1c000f0a 00112e23 sw               x1, 28(x2)           x1:1c000d08  x2:10000950  PA:1000096c
             3117500            3102 1c000f0c 00812c23 sw               x8, 24(x2)           x8:10000990  x2:10000950  PA:10000968
             3118500            3103 1c000f0e 00912a23 sw               x9, 20(x2)           x9:1000016c  x2:10000950  PA:10000964
             3134500            3119 1c000f10 01212823 sw               x18, 16(x2)         x18:00000000  x2:10000950  PA:10000960
             3135500            3120 1c000f12 01412423 sw               x20, 8(x2)          x20:00000000  x2:10000950  PA:10000958
             3136500            3121 1c000f14 01512223 sw               x21, 4(x2)          x21:00000000  x2:10000950  PA:10000954
             3137500            3122 1c000f16 01612023 sw               x22, 0(x2)          x22:00000000  x2:10000950  PA:10000950
             3138500            3123 1c000f18 30047af3 csrrci           x21, 0x00000008, 0x300 x21=00001800
             3142500            3127 1c000f1c 00a00933 add              x18, x0, x10        x18=1000013c x10:1000013c
             3143500            3128 1c000f1e 00051763 bne              x10, x0, 14         x10:1000013c
